word,def,sentiment,
To SHINE.,1. To have bright resplendence; to glitter; to glisten; to gleam. 2. To be without clouds. 3. To be glossy. 4. To be gay; to be splendid. 5. To be beautiful. 6. To be eminent or conspicuous. 7. To be propitious. 8. To enlighten corporeally and externally.,,
Shine.,1. Fair weather. 2. Brightness; splendour; lustre.,,
Shi'ness.,Unwillingness to be tractable or familiar.,,
Shi'ngle.,A thin board to cover houses.,,
Shi'ngles.,A kind of tetter or herpes that spreads itself round the loins.,,
Shi'ny.,Bright; splendid; luminous.,,
Ship.,"A termination noting quality or adjunct, as lordship; or office, as stewardship.",,
SHIP.,"A ship may be defined a large hollow building, made to pass over the sea with sails.",,
To Ship.,1. To put into a ship. 2. To transport in a ship.,,
Shi'pboard.,2. The plank of a ship.,,
Shi'pboy.,Boy that serves in a ship.,,
Shi'pman.,Sailor; seaman.,,
Shi'pmaster.,Master of the ship.,,
Shi'pping.,1. Vessels of navigation. 2. Passage in a ship.,,
Shi'pwreck.,1. The destruction of ships by rocks or shelves. 2. The parts of a shattered ship. 3. Destruction; miscarriage.,,
To Shi'pwreck.,1. To destroy by dashing on rocks or shallows. 2. To make to suffer the dangers of a wreck. 3. To throw by loss of the vessel.,,
Shi'pwright.,A builder of ships.,,
Shire.,A division of the kingdom; a county; so much of the kingdom as is under one sheriff.,,
SHIRT.,The under linen garment of a man.,,
To Shirt.,To cover; to clothe as in a shirt.,,
Shi'rtless.,Wanting a shirt.,,
Shi'ttah. Shi'ttim.,"A sort of precious wood, of which Moses made the greatest part of the tables, altars, and planks belonging to the tabernacle. The wood is hard, tough, smooth, without knots, and extremely beautiful. It grows in Arabia.",,
Shi'ttlecock.,"A cork stuck with feathers, and driven by players from one to another with battledoors.",,
Shive.,"1. A slice of bread. 2. A thick splinter, or lamina cut off from the main substance.",,
To SHI'VER.,"To quake; to tremble; to shudder, as with cold or fear.",,
To Shi'ver.,To fall at once into many parts or shives.,,
To Shi'ver.,To break by one act into many parts; to shatter.,,
Shi'ver.,One fragment of many into which any thing is broken.,,
Shi'very.,Loose of coherence; incompact; easily falling into many fragments.,,
Sho'adstone.,"Shoadstone is a small stone, smooth without, of a dark liver colour, and of the same colour within, only with the addition of a faint purple. It is a fragment broke of an iron vein.",,
Shoal.,1. A croud; a great multitude; a throng. 2. A shallow; a sand bank.,,
To Shoal.,1. To croud; to throng. 2. To be shallow; to grow shallow.,,
Shoal.,Shallow; obstructed or incumbered with banks.,,
Shoa'liness.,Shallowness; frequency of shallow places.,,
Shoa'ly.,Full of shoals; full of shallow places.,,
Shock.,1. Conflict; mutual impression of violence; violent concourse. 2. Concussion; external violence. 3. The conflict of enemies. 4. Offence; impression of disgust. A pile of sheaves of corn. A rough dog.,,
To Shock.,1. To shake by violence. 2. To offend; to disgust.,,
To Shock.,To be offensive.,,
To Shock.,To build up piles of sheaves.,,
Shoe.,The cover of the foot.,,
To Shoe.,1. To fit the foot with a shoe. 2. To cover at the bottom.,,
Shoe'boy.,A boy that cleans shoes.,,
Shoe'ing-horn.,1. A horn used to facilitate the admission of the foot into a narrow shoe. 2. Any thing by which a transaction is facilitated; any thing used as a medium.,,
Shoema'ker.,One whose trade is to make shoes.,,
Shoe'tye.,The ribband with which women tie their shoes.,,
Shog.,Violent concussion.,,
To Shog.,To shake; to agitate by sudden interrupted impulses.,,
To Shoot.,"1. To discharge any thing so as to make it fly with speed or violence. 2. To discharge from a bow or gun. 3. To let off. 4. To strike with any thing shot. 5. To emit new parts, as a vegetable. 6. To emit; to dart or thrust forth. 7. To push suddenly. 8. To push forward. 9. To fit to each other by planing; 10. To pass through with swiftness.",,
To Shoot.,1. To perform the act of shooting. 2. To germinate; to increase in vegetable growth. 3. To form itself into any shape. 4. To be emitted. 5. To protuberate; to jet out. 6. To pass as an arrow. 7. To become any thing suddenly. 8. To move swiftly along. 9. To feel a quick pain.,,
Shoot.,"1. The act or impression of any thing emitted from a distance. 2. The act of striking, or endeavouring to strike with a missive weapon discharged by any instrument. Branches issuing from the main stock.",,
Shoo'ter.,One that shoots; an archer; a gunner.,,
Shop.,1. A place where any thing is sold. 2. A room in which manufactures are carried on.,,
Shopboa'rd.,Bench on which any work is done.,,
Sho'pbook.,Book in which a tradesman keeps his accounts.,,
Shopkee'per.,A trader who sells in a shop; not a merchant who only deals by wholesale.,,
Sho'pman.,A petty trader.,,
Shore.,1. The coast of the sea. 2. The bank of a river. 3. A drain; The support of a building; a buttress.,,
To Shore.,1. To prop; to support. 2. To set on shore.,,
Sho'reless.,Having no coast.,,
Sh'orling.,The felt or skin of a sheep shorn.,,
Shorn.,The participle passive of shear.,,
SHORT.,1. Not long; commonly not long enough. 2. Not long in space or extent. 3. Not long in time or duration. 4. Repeated by quick iterations. 5. Not attaining an end; not reaching the purposed point; not adequate; not equal. 6. Not far distant in time. 7. Defective; imperfect. 8. Scanty; wanting. 9. Not fetching a compass. 10. Not going so far as was intended. 11. Defective as to quantity. 12. Narrow; contracted. 13. Brittle; friable. 14. Not bending.,,
Short.,A summary account.,,
Short.,Not long.,,
To Sho'rten.,"1. To make short, either in time or space. 2. To contract; to abbreviate. 3. To confine; to hinder from progression. 4. To cut off; to defeat. 5. To lop.",,
Sho'rthand.,A method of writing in compendious characters.,,
Sho'rtlived.,Not living or lasting long.,,
Sho'rtly.,1. Quickly; soon; in a little time. 2. In a few words; briefly.,,
Sho'rtness.,"1. The quality of being short, either in time or space: 2. Fewness of words; brevity; conciseness. 3. Want of retention. 4. Deficience; imperfection.",,
Sho'rtribs.,The bastard ribs; the ribs below the sternum.,,
Sho'rtsighted.,1. Unable by the convexity of the eye to see far. 2. Unable by intellectual sight to see far.,,
Sho'rtsightedness.,"1. Defect of sight, proceeding from the convexity of the eye. 2. Defect of intellectual sight.",,
Sho'rtwaisted.,Having a short body.,,
Sho'rtwinded.,Shortbreathed; asthmatick; breathing by quick and faint reciprocations.,,
Sho'rtwinged.,Having short wings.,,
Sho'ry.,Lying near the coast.,,
Sho'tfree.,Clear of the reckoning.,,
Sho'tten.,Having ejected the spawn.,,
Should. I Should go. If I Should go. Thou Should'st go. If thou Should'st go. Should be.,"1. This is a kind of auxiliary verb used in the conjunctive mood, of which the signification is not easily fixed. It is my business or duty to go. If it happens that I go. Thou oughtest to go. If it happens that thou goest.",,
SHO'ULDER.,"1. The joint which connects the arm to the body. 2. The upper joint of the foreleg. 3. The upper part of the back. 4. The shoulders are used as emblems of strength, or the act of supporting. 5. A rising part; a prominence.",,
To Sho'ulder.,1. To push with insolence and violence. 2. To put upon the shoulder.,,
Sho'ulderbelt.,A belt that comes across the shoulder.,,
Sho'ulderclapper.,"One who affects familiarity, or one that mischiefs privily.",,
Sho'uldershotten.,Strained in the shoulder.,,
Sho'ulderslip.,Dislocation of the shoulder.,,
To SHOUT.,To cry in triumph or exhortation.,,
Shout.,A loud and vehement cry of triumph or exhortation.,,
Sho'uter.,He who shouts.,,
To Shove.,1. To push by main strength. 2. To drive a boat by a pole that reaches to the bottom of the water. 3. To push; to rush against.,,
To Shove.,"1. To push forward before one. 2. To move in a boat, not by oars but a pole.",,
Shove.,The act of shoving; a push.,,
To Sho'vel.,1. To throw or heap with a shovel. 2. To gather in great quantities.,,
Sho'velboard.,A long board on which they play by sliding metal pieces at a mark.,,
To SHOW.,1. To exhibit to view. 2. To give proof of; to prove. 3. To publish; to make publick; to proclaim. 4. To make known. 5. To point the way; to direct. 6. To offer; to afford. 7. To explain; to expound. 8. To teach; to tell.,,
To Show.,1. To appear; to look; to be in appearance. 2. To have appearance.,,
Show.,1. A spectacle; something publickly exposed to view for money. 2. Superficial appearance. 3. Ostentatious display. 4. Object attracting notice. 5. Splendid appearance. 6. Semblance; likeness. 7. Speciousness; plausibility. 8. External appearance. 9. Exhibition to view. 10. Pomp; magnificent spectacle. 11. Phantoms; not realities. 12. Representative action.,,
"Sho'wbread, or Shewbread.","Among the Jews, they thus called loaves of bread that the priest of the week put every Sabbath-day upon the golden table, which was in the sanctum before the Lord. They were covered with leaves of gold, and were twelve in number, representing the twelve tribes of Israel. They served them up hot, and at the same time took away the stale ones, and which could not be eaten but by the priest alone. This offering was accompanied with frankincense and salt.",,
SHO'WER.,1. Rain either moderate or violent. 2. Storm of any thing falling thick. 3. Any very liberal distribution.,,
To Shower.,1. To wet or drown with rain. 2. To pour down. 3. To distribute or scatter with great liberality.,,
To Sho'wer.,To be rainy.,,
Sho'wery.,Rainy.,,
"Sho'wish, or Showy.",1. Splendid; gaudy. 2. Ostentatious.,,
Shown.,Exhibited.,,
To Shred.,To cut into small pieces.,,
Shred.,1. A small piece cut off. 2. A fragment.,,
SHREW.,"A peevish, malignant, clamorous, spiteful, vexatious, turbulent woman.",,
Shrewd.,1. Having the qualities of a shrew; malicious; troublesome; mischievous. 2. Maliciously sly; cunning; more artful than good. 3. Bad; ill-betokening. 4. Painful; pinching; dangerous; mischievous.,,
Shre'wdly.,1. Mischievously; destructively. 2. Vexatiously. 3. With strong suspicion.,,
Shre'wdness.,1. Sly cunning; archness. 2. Mischievousness; petulance.,,
Shre'wish.,Having the qualities of a shrew; froward; petulantly clamorous.,,
Shre'wishly.,Petulantly; peevishly; clamorously; frowardly.,,
Shre'wishness.,The qualities of a shrew; frowardness; petulance; clamorousness.,,
Shre'wmouse.,"A mouse of which the bite is generally supposed venomous, and to which vulgar tradition assigns such malignity, that she is said to lame the foot over which she runs.",,
To Shriek.,To cry out inarticulately with anguish or horrour; to scream.,,
Shriek.,An inarticulate cry of anguish or horrour.,,
Shrift.,Confession made to a priest.,,
SHRILL.,"Sounding with a piercing, tremulous, or vibratory sound.",,
To Shrill.,To pierce the ear with sharp and quick vibrations of sound.,,
Shri'llness.,The quality of being shrill.,,
Shri'lly.,With a shrill noise.,,
Shrimp.,1. A small crustaceous vermiculated fish. 2. A little wrinkled man; a dwarf.,,
Shrine.,A case in which something sacred is reposited.,,
To Shrink.,"1. To contract itself into less room; to shrivel; to be drawn together by some internal power. 2. To withdraw as from danger. 3. To express fear, horrour, or pain, by shrugging, or contracting the body. 4. To fall back as from danger.",,
To Shrink.,To make to shrink.,,
Shrink.,1. Corrugation; contraction into less compass. 2. Contraction of the body from fear or horrour.,,
Shri'nker.,He who shrinks.,,
To Shrive.,To hear at confession.,,
To Shri'vel.,To contract itself into wrinkles.,,
To Shri'vel.,To contract into wrinkles.,,
Shri'ver.,A confessor.,,
Shroud.,1. A shelter; a cover. 2. The dress of the dead; a winding-sheet. 3. The sail ropes. It seems to be taken sometimes for the sails.,,
To Shroud.,1. To shelter; to cover from danger. 2. To dress for the grave. 3. To clothe; to dress. 4. To cover or conceal. 5. To defend; to protect.,,
To Shroud.,To harbour; to take shelter.,,
Shro'vetide. Shro'vetuesday.,"The time of confession; the day before Ash-wednesday or Lent, on which anciently they went to confession.",,
